datetime,1,3,5,7,9
1984-06-20 23:00:00,1.0923554223996621e-08,1.2767787332888003e-07,1.4276035405971387e-07,3.0155055638816622e-09,3.072277953227361e-09
1984-06-21 23:00:00,2.6383928747640717e-09,4.708317142945749e-08,5.538008831165455e-08,0.0,0.0
1984-06-22 23:00:00,1.862880739348906e-09,4.0872938655040884e-08,4.1993078258302475e-08,0.0,0.0
1984-06-23 23:00:00,2.634389739897516e-09,6.588848652663055e-08,6.451739757149308e-08,0.0,0.0
1984-06-24 23:00:00,3.0603770304609228e-09,7.991663835666798e-08,7.780097700931407e-08,0.0,0.0
1984-06-25 23:00:00,2.6003414489052916e-09,8.002420266469319e-08,7.878146237797207e-08,0.0,0.0
1984-06-26 23:00:00,1.995711138954869e-09,7.826842643596509e-08,7.629022554115013e-08,0.0,0.0
1984-06-27 23:00:00,1.4165549159601883e-09,7.55890044901106e-08,6.75836702187856e-08,0.0,0.0
1984-06-28 23:00:00,1.053875398442701e-09,7.663892375098334e-08,7.043893138567607e-08,0.0,0.0
1984-06-29 23:00:00,7.027142715674859e-10,9.255727132161459e-08,8.59215138135133e-08,0.0,0.0
1984-06-30 23:00:00,6.950845730628956e-11,2.5742583804660373e-08,2.1246893814316502e-08,0.0,0.0
1984-07-01 23:00:00,6.477422882906265e-11,3.0177453601801836e-08,2.4349085158771938e-08,0.0,0.0
1984-07-02 23:00:00,7.244949099711246e-11,4.416574482564573e-08,3.5834546994279934e-08,0.0,0.0
1984-07-03 23:00:00,0.0,3.646957101645293e-08,2.729451490773095e-08,0.0,0.0
1984-07-04 23:00:00,0.0,3.551392367592564e-08,2.5208780059108027e-08,0.0,0.0
1984-07-05 23:00:00,0.0,4.478167052622195e-08,3.113689246001067e-08,0.0,0.0
1984-07-06 23:00:00,0.0,4.189378133526555e-08,2.8878911225884048e-08,0.0,0.0
1984-07-07 23:00:00,0.0,2.5742627956249095e-08,1.686902923716439e-08,0.0,0.0
1984-07-08 23:00:00,0.0,2.260018002103876e-08,1.4691297654752378e-08,0.0,0.0
1984-07-09 23:00:00,0.0,2.119375185834037e-08,1.3976534483609375e-08,0.0,0.0
1984-07-10 23:00:00,0.0,2.173433287276162e-08,1.304579691754447e-08,0.0,0.0
1984-07-11 23:00:00,0.0,2.7284707736085963e-08,1.575930940884131e-08,0.0,0.0
1984-07-12 23:00:00,0.0,2.1000545885827805e-08,1.1629740949030276e-08,0.0,0.0
1984-07-13 23:00:00,0.0,1.5988192624515958e-08,8.646133183329193e-09,0.0,0.0
1984-07-14 23:00:00,0.0,1.6055997047159407e-08,8.57622328179854e-09,0.0,0.0
1984-07-15 23:00:00,0.0,1.9211440726562783e-08,9.673243319546734e-09,0.0,0.0
1984-07-16 23:00:00,0.0,1.9800896169962706e-08,9.18358909311118e-09,0.0,0.0
1984-07-17 23:00:00,0.0,1.899912539455626e-08,8.410394053768229e-09,0.0,0.0
1984-07-18 23:00:00,0.0,2.221625436235357e-08,9.522510485516655e-09,0.0,0.0
1984-07-19 23:00:00,0.0,2.0354474308314147e-08,8.151547776328192e-09,0.0,0.0
1984-07-20 23:00:00,0.0,1.4165664712587993e-08,5.143464163497642e-09,0.0,0.0
1984-07-21 23:00:00,0.0,1.1113010070942066e-08,3.98069758106161e-09,0.0,0.0
1984-07-22 23:00:00,5.9172367608105695e-08,8.056465674329687e-08,7.108201031331662e-08,5.678015174689116e-08,6.04571181314963e-08
1984-07-23 23:00:00,8.950551902806318e-08,2.995390858915117e-08,3.221995852611683e-08,3.947182386009781e-08,4.507019288010067e-08
1984-07-24 23:00:00,0.0,1.8251247152134223e-08,4.771890601626149e-09,0.0,0.0
1984-07-25 23:00:00,0.0,1.6748901042673323e-08,3.989991145553412e-09,0.0,0.0
1984-07-26 23:00:00,4.733296594134084e-09,1.9441992044448852e-08,1.1600515356770267e-08,6.628735853290117e-10,1.4129923484115688e-09
1984-07-27 23:00:00,0.0,1.1834382183021969e-08,2.2061650330821672e-09,0.0,0.0
1984-07-28 23:00:00,3.099257195437396e-07,3.4222651410985877e-07,3.3430192205641007e-07,2.676010794109768e-07,2.7845521767934163e-07
